ID;Income_110805;sex;UBICACION;Edad;Area;Fecha Ingreso
841;0;M;LIMA;45;RIESGOS;1/03/01
844;0;H;LIMA;50;RIESGOS;29/09/01
857;0;M;PROVINCIA;51;RIESGOS;3/06/08
858;1;M;PROVINCIA;52;BUSINESS DEVELOPMENT & DIGITAL BANKIN;7/12/01
861;0;H;PROVINCIA;59;OTROS;25/08/01
863;0;H;PROVINCIA;48;RIESGOS;4/10/01
869;0;M;LIMA;56;BUSINESS DEVELOPMENT & DIGITAL BANKIN;27/02/01
923;1;M;LIMA;42;BANCA EMPRESAS E INSTITUCIONES;1/05/02
935;1;H;LIMA;44;BANCA EMPRESAS E INSTITUCIONES;4/05/02
975;1;M;LIMA;43;ENGINEERING;16/10/00
981;1;M;LIMA;40;ENGINEERING;15/12/01
1014;0;M;LIMA;41;OTROS;15/09/16
1056;0;M;LIMA;45;TALENTO & CULTURA;19/03/03
1082;0;H;PROVINCIA;41;OTROS;1/09/02
1095;1;M;LIMA;51;BANCA EMPRESAS E INSTITUCIONES;29/10/74
1110;0;M;LIMA;42;RIESGOS;25/11/02
1111;0;M;LIMA;39;OTROS;2/12/02
1159;1;M;LIMA;37;BUSINESS DEVELOPMENT & DIGITAL BANKIN;1/01/03
1195;0;M;LIMA;39;BANCA EMPRESAS E INSTITUCIONES;7/07/05
1196;1;H;LIMA;38;BANCA EMPRESAS E INSTITUCIONES;1/01/06
1208;0;M;LIMA;36;BANCA EMPRESAS E INSTITUCIONES;11/08/05
1230;0;H;LIMA;41;RIESGOS;4/11/05
1247;0;M;PROVINCIA;37;BANCA EMPRESAS E INSTITUCIONES;1/01/08
1256;0;M;LIMA;39;BANCA EMPRESAS E INSTITUCIONES;12/12/05
1294;1;H;PROVINCIA;40;BANCA EMPRESAS E INSTITUCIONES;2/03/06
1307;0;M;LIMA;38;OTROS;1/02/11
1313;1;H;LIMA;36;BANCA EMPRESAS E INSTITUCIONES;1/07/07
1322;0;M;LIMA;38;OTROS;1/01/08
1329;0;M;LIMA;37;RIESGOS;1/12/09
1385;1;M;LIMA;36;ENGINEERING;1/04/08
1403;0;H;LIMA;34;OTROS;30/09/08
1405;1;H;LIMA;45;CORPORATE & INVESTMENT BANKING;1/10/07
1443;0;H;LIMA;43;TALENTO & CULTURA;6/03/06
1460;0;M;LIMA;40;ENGINEERING;1/05/08
1490;1;M;LIMA;52;BUSINESS DEVELOPMENT & DIGITAL BANKIN;1/07/08
1491;1;M;LIMA;39;BANCA EMPRESAS E INSTITUCIONES;1/12/10
1492;0;M;LIMA;38;OTROS;1/07/08
1499;1;M;LIMA;39;ENGINEERING;31/12/08
1504;1;M;LIMA;39;BANCA EMPRESAS E INSTITUCIONES;2/02/09
1532;0;H;LIMA;42;BUSINESS DEVELOPMENT & DIGITAL BANKIN;15/02/17
1545;0;M;LIMA;35;RIESGOS;30/09/08
1547;1;H;LIMA;39;BUSINESS DEVELOPMENT & DIGITAL BANKIN;30/09/08
1563;1;M;LIMA;56;CORPORATE & INVESTMENT BANKING;1/06/08
1579;0;M;LIMA;55;CORPORATE & INVESTMENT BANKING;1/10/11
1580;1;M;LIMA;36;BANCA EMPRESAS E INSTITUCIONES;1/11/10
1604;1;H;PROVINCIA;39;ENGINEERING;1/02/07
1615;1;M;LIMA;37;ENGINEERING;31/12/08
1651;0;M;PROVINCIA;37;RIESGOS;2/06/08
1670;1;M;LIMA;41;CORPORATE & INVESTMENT BANKING;1/07/10
1674;1;H;LIMA;38;BUSINESS DEVELOPMENT & DIGITAL BANKIN;12/04/07
1676;0;H;LIMA;32;OTROS;30/09/09
1684;1;M;LIMA;36;BANCA EMPRESAS E INSTITUCIONES;1/07/09
1692;0;M;LIMA;38;RIESGOS;1/07/11
1705;0;M;LIMA;33;RIESGOS;1/07/10
1710;0;M;PROVINCIA;41;TALENTO & CULTURA;1/07/09
1731;1;M;LIMA;35;CORPORATE & INVESTMENT BANKING;1/07/09
1759;0;M;PROVINCIA;36;TALENTO & CULTURA;17/09/07
1770;0;M;PROVINCIA;38;OTROS;1/01/10
1772;1;M;LIMA;39;ENGINEERING;1/01/10
1774;1;H;LIMA;36;CORPORATE & INVESTMENT BANKING;1/01/10
1801;1;M;LIMA;37;BUSINESS DEVELOPMENT & DIGITAL BANKIN;1/01/10
1826;0;M;PROVINCIA;39;OTROS;1/07/11
1835;0;H;LIMA;40;ENGINEERING;1/02/11
1838;0;H;LIMA;39;OTROS;1/01/11
1841;1;M;LIMA;36;ENGINEERING;1/08/13
1855;0;H;LIMA;50;RIESGOS;1/04/11
1857;1;H;LIMA;40;ENGINEERING;1/02/11
1858;1;H;LIMA;45;ENGINEERING;1/04/11
1859;0;H;LIMA;45;OTROS;1/04/11
1860;1;M;LIMA;38;ENGINEERING;1/04/11
1861;0;H;LIMA;41;ENGINEERING;1/07/11
1862;0;M;LIMA;39;ENGINEERING;1/01/11
1863;0;M;LIMA;39;OTROS;1/04/11
1880;0;H;LIMA;42;ENGINEERING;1/07/11
1881;0;M;LIMA;40;CORPORATE & INVESTMENT BANKING;1/06/09
1882;0;M;LIMA;51;ENGINEERING;1/12/09
1883;0;H;LIMA;60;OTROS;1/01/12
1885;0;H;LIMA;41;OTROS;31/10/08
1886;0;H;PROVINCIA;40;OTROS;1/08/10
1901;0;H;LIMA;47;OTROS;1/12/12
1946;1;M;PROVINCIA;39;CORPORATE & INVESTMENT BANKING;1/07/10
1983;0;H;LIMA;37;OTROS;17/05/17
2002;0;H;LIMA;39;BUSINESS DEVELOPMENT & DIGITAL BANKIN;16/09/08
2136;1;M;LIMA;42;BUSINESS DEVELOPMENT & DIGITAL BANKIN;1/07/11
2142;1;H;LIMA;55;BANCA EMPRESAS E INSTITUCIONES;1/02/12
2212;0;M;LIMA;40;BANCA EMPRESAS E INSTITUCIONES;1/09/12
2228;1;H;LIMA;36;CORPORATE & INVESTMENT BANKING;1/12/11
2237;0;H;LIMA;43;RIESGOS;1/01/11
2268;1;H;LIMA;35;BUSINESS DEVELOPMENT & DIGITAL BANKIN;1/07/12
2272;0;H;LIMA;38;OTROS;1/02/12
2274;0;M;PROVINCIA;34;OTROS;1/04/12
2302;1;H;LIMA;36;BUSINESS DEVELOPMENT & DIGITAL BANKIN;1/04/12
2308;1;M;LIMA;36;ENGINEERING;1/04/12
2317;0;M;PROVINCIA;41;RIESGOS;1/05/12
2318;1;M;LIMA;29;BUSINESS DEVELOPMENT & DIGITAL BANKIN;1/07/12
2356;1;M;PROVINCIA;39;BANCA EMPRESAS E INSTITUCIONES;1/05/12
2360;1;M;LIMA;38;BUSINESS DEVELOPMENT & DIGITAL BANKIN;1/03/13
2367;1;M;LIMA;36;ENGINEERING;1/06/12
